popularity,title,vote_average,vote_count,budget,imdb_id,runtime,years_from_release,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,domestic,international,worldwide
91.228,Pitch Perfect,7.3,6484,17000000,tt1981677,112,12,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,65298093.0,50349333.0,115647737.0
90.934,Con Air,6.743,4144,75000000,tt0118880,116,27,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,101117573.0,122894661.0,224012234.0
49.988,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,7.0,1310,3800000,tt0116126,89,28,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20109115.0,840486.0,20949601.0
90.866,King Kong,6.89,7824,207000000,tt0360717,187,19,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,218080025.0,338826353.0,556906378.0
90.663,Full Metal Jacket,8.1,10431,30000000,tt0093058,117,37,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,46357676.0,3826762.0,50193748.0
56.46,My Neighbor Totoro,8.1,7930,3700000,tt0096283,86,36,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,2250213.0,28082487.0,30336927.0
54.709,Sicario: Day of the Soldado,6.924,3542,35000000,tt5052474,122,6,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,50072235.0,25765508.0,75837743.0
90.51,Uncharted,6.9,5926,120000000,tt1464335,116,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,148648820.0,258492438.0,407141258.0
59.198,The Boy in the Striped Pyjamas,7.8,7112,12500000,tt0914798,94,16,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,9046156.0,31370407.0,40416563.0
64.614,Baby Driver,7.45,15630,34000000,tt3890160,113,7,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,107825862.0,119119225.0,226945087.0
64.594,Consent,6.846,178,3700000,tt26255020,119,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.0,4710394.0,4710394.0
64.541,Aladdin,7.7,11195,28000000,tt0103639,95,32,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,217350219.0,286700000.0,504050219.0
64.507,Sicario,7.403,8521,30000000,tt3397884,122,9,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,46889293.0,38108153.0,84997446.0
